GID99999990	能量步枪
GID00031605	角色淡出
GID00031606	声望
GID00031607	伤害
GID00031608	Xbox 360控制器未连接，点击确定键以使用键盘和鼠标方式，或重新连接Xbox 360控制器并按A键，
GID00031609	主动
GID00031610	开启
GID00031611	盗窃
GID00031612	360控制器
GID00031613	鼻梁 浅/深
GID00031614	反颌/覆咬合
GID00031615	胡须
GID00031616	额 长/短
GID00031617	右摇杆 下
GID00031619	你的装备耐久度已经低得很危险了
GID00031621	覆盖此存档？
GID00031622	嘴颏距离
GID00031623	你的左臂残废了
GID00031624	日
GID00031625	鼻梁深度
GID00031626	中立
GID00031627	右键
GID00031628	访问设备时发生错误，请再试一次
GID00031629	你身上的重型护甲正在拖着你下沉
GID00031631	鼻梁长度
GID00031632	他的
GID00031633	大家都不知道应该对你喜怒无常的行为作何评价，但你给他们留下了深刻的印象
GID00031634	秋季
GID00031635	许可
GID00031636	善良的淘气鬼
GID00031637	三月
GID00031639	平/尖
GID00031640	已补充
GID00031641	交谈
GID00031642	默认设置
GID00031643	鼻孔倾斜
GID00031644	筹码
GID00031646	S.P.E.C.I.AL
GID00031647	鼻孔尺寸
GID00031648	耐久
GID00031649	你必须先装备一件武器以淬毒
GID00031650	鼻孔 宽/窄
GID00031651	VDSG手册
GID00031652	你需要 [%] 的撬锁技能以撬开此锁
GID00031653	鼻根低处 浅/深
GID00031654	嘴 向上倾斜/向下倾斜
GID00031655	删除
GID00031656	等待
GID00031658	保存内容中，请不要关闭您的主机
GID00031659	赢取瓶盖总数：
GID00031660	等级
GID00031661	状态
GID00031662	右摇杆 右
GID00031663	脸部 窄/宽
GID00031665	你不能在水下施展范围咒语
GID00031666	你必须睡在牢床上服刑
GID00031667	卡牌总数：
GID00031668	上瘾
GID00031670	尽管你是个恶徒，但也因偶尔表现出的仁慈而远近闻名
GID00031671	战斗节
GID00031672	主要
GID00031673	阅读
GID00031674	仇恨
GID00031675	没有可修理的物品
GID00031677	困难
GID00031678	视频
GID00031679	恶贯满盈
GID00031680	您确定要退出吗？
GID00031681	维加斯罪魁
GID00031683	选牌
GID00031684	使用钥匙
GID00031685	笑里藏刀
GID00031686	亵渎者
GID00031687	一般
GID00031688	当附近有敌人时，你不能睡觉
GID00031689	莫哈维噩梦
GID00031690	睡眠
GID00031692	近战武器－双手
GID00031693	按键3
GID00031695	选择
GID00031696	关闭帮助
GID00031697	道德值小幅提升
GID00031698	你成功收获了 [%] 
GID00031699	绝望之剑
GID00031700	按键4
GID00031701	你不再脱水
GID00031703	帮助
GID00031704	抗伤
GID00031705	正确
GID00031706	维加斯恶鬼
GID00031707	按键5
GID00031708	读取存档
GID00031709	颧骨 低/高
GID00031710	废土恶霸
GID00031712	按键6
GID00031713	你的重型护甲阻碍了你进行跳跃
GID00031714	哔哔小子界面颜色
GID00031716	没有
GID00031718	按键7
GID00031719	您现在不能保存进度
GID00031720	游戏时间
GID00031721	废土毁灭者
GID00031722	擅闯
GID00031723	按键8
GID00031724	调节
GID00031725	邪恶化身
GID00031726	上一页挑战类型
GID00031727	蓝色
GID00031728	卸下
GID00031729	游戏杆下－右
GID00031730	快速读取
GID00031731	商队牌牌组
GID00031732	商人没有足够的瓶盖
GID00031733	你不能在战斗中睡觉
GID00031734	药水
GID00031735	七月
GID00031736	偷窃
GID00031737	[%]失去知觉
GID00031738	学徒
GID00031739	下颚 长/短
GID00031740	乐于助人者
GID00031741	谋杀
GID00031742	失去 [%] 信号
GID00031743	你不能在空中丢弃物品
GID00031744	鼻根高度
GID00031745	卫道士
GID00031746	音量 -
GID00031747	暴力开锁
GID00031748	鼻根深度
GID00031749	眉脊内侧 上/下
GID00031750	全部拿走
GID00031751	哨卫
GID00031753	你不能在战斗中进行等待
GID00031754	！！！ 警告：即将锁定 ！！！
GID00031755	大部分人都认为你是个魔鬼，但他们也承认你做过一点好事
GID00031756	崇拜
GID00031757	捍卫者
GID00031758	鼻根宽度
GID00031759	贵胄
GID00031761	你不能在被警卫追捕时撬锁
GID00031762	短/长
GID00031763	眼睛 深棕/浅蓝
GID00031765	和平主义者
GID00031766	治疗针
GID00031767	向下倾斜/向上倾斜
GID00031768	鼻孔 宽/窄
GID00031769	嘴唇 大/小
GID00031770	废土游侠
GID00031771	眼睛颜色
GID00031772	守护者
GID00031773	荒漠复仇者
GID00031774	保存成功
GID00031775	选择弃牌
GID00031776	贴图尺寸
GID00031778	低
GID00031779	辐射
GID00031780	删除
GID00031781	无法撬开此锁，需要钥匙打开
GID00031782	酒精
GID00031783	主菜单
GID00031784	消耗
GID00031785	充能
GID00031786	快速存档
GID00031787	目标等级
GID00031788	所有卡牌
GID00031789	瞄准中
GID00031790	价值
GID00031791	增强
GID00031792	撬锁
GID00031793	真实的机械瞄准
GID00031794	你有好的一面也有坏的一面，人们无法决定你究竟是什么样的人
GID00031795	右键)
GID00031796	第一组
GID00031797	颧骨 轻微/明显
GID00031798	外科
GID00031799	耐久
GID00031800	技能： [%]/[%] 已选择
GID00031801	* 字体索引文件与Fallout.ini (PC/PS3) 和 FalloutXenon.ini (360)文件中的素材文件名("sFontFile_#")对应！
GID00031802	十字钮 左/右
GID00031804	挑战
GID00031806	按［开始］
GID00031808	上午
GID00031809	眼眶 青肿/明亮
GID00031810	废土公敌
GID00031811	十字钮 上/下
GID00031813	放弃牌列
GID00031815	商人节
GID00031816	末日缔造者
GID00031817	你在赌场里赢得还不够多，玩不了这个游戏
GID00031818	厄运使者
GID00031819	获得经验值
GID00031820	修理
GID00031821	伤害
GID00031822	欺诈师
GID00031823	十字钮 左
GID00031824	[%]的效果逐渐消失了
GID00031825	纷争大使
GID00031826	给养/交谈
GID00031828	结束下注
GID00031829	游荡的梦魇
GID00031830	混乱代理人
GID00031831	你不再饥饿
GID00031834	游戏时间
GID00031836	原料
GID00031837	他
GID00031838	毁灭之王
GID00031840	投掷
GID00031841	加注
GID00031842	眼影
GID00031845	弑魂者
GID00031848	跟着我
GID00031850	脸部红度 浅淡/红润
GID00031851	恶魔之卵
GID00031852	您尚未选择一个存储设备，您必须在存档前选择存储设备，在此之前，无法使用自动保存功能
GID00031853	你打平了
GID00031854	蹲下
GID00031856	此键不能重新设定
GID00031858	 任务
GID00031859	变化
GID00031860	你想偷这匹马吗？
GID00031863	认输
GID00031864	轻
GID00031866	辐射
GID00031868	嘴 高/低
GID00031869	欢迎进入罗科工业公司 (TM) 终端链路
GID00031870	道德楷模
GID00031871	移除
GID00031872	眉脊外侧 上/下
GID00031873	效果
GID00031875	你做的好事全都传开了，人们喜欢你
GID00031876	维加斯十字军
GID00031878	你无法装备此物品
GID00031880	躯体
GID00031881	特长
GID00031882	肤色
GID00031883	重量
GID00031884	请输入密码
GID00031885	大
GID00031887	圣骑士
GID00031888	十字钮
GID00031889	停牌
GID00031891	剩余尝试次数：
GID00031892	莫哈维传奇
GID00031893	当前武器已淬毒
GID00031896	脸颊 凹/凸
GID00031897	已添加地图标记
GID00031898	希望守护者
GID00031900	保存
GID00031901	发色
GID00031902	选择[%]个特质
GID00031904	正在初始化罗科工业 (TM) 故障启动代理器 v2.3.0
GID00031905	维加斯传奇
GID00031906	废土英雄
GID00031908	你的睡眠不足情况有所缓解
GID00031909	是的，重启游戏
GID00031910	开始新游戏？这将覆盖你的自动存档
GID00031911	英杰
GID00031914	版权所有 2201-2203 罗科工业
GID00031915	废土救世主
GID00031916	非常困难
GID00031918	上瘾
GID00031919	圣贤
GID00031920	此存档已损坏，将返回游戏
GID00031921	在这里等着
GID00031922	能力
GID00031923	专家
GID00031924	你赢了
GID00031925	眉毛 低/高
GID00031926	绿色
GID00031927	交谈
GID00031928	眼白 黯淡/明亮
GID00031929	面部
GID00031930	六月
GID00031931	十字钮 右
GID00031932	你不能坐在其他人的家具上
GID00031933	选择
GID00031934	荒野
GID00031935	上
GID00031936	所在地点当前不可进行快速旅行
GID00031937	战斗
GID00031938	从最近的存档继续？
GID00031939	髭须 轻/重
GID00031940	选择最多 [%] 特质
GID00031941	挑战完成
GID00031942	量级
GID00031943	笔记
GID00031944	唇膏 深蓝/浅红
GID00031947	样式
GID00031949	女性
GID00031950	已装备
GID00031951	装备
GID00031952	攻击
GID00031953	加载额外内容中，请等待
GID00031954	保存中……
GID00031955	你的武器耐久已经低得非常危险了
GID00031956	非常邪恶
GID00031957	反转Y轴
GID00031958	你不能在受到辐射时进行等待
GID00031959	分配 [%] 点
GID00031960	&忽略
GID00031961	溅射
GID00031962	等级咒语
GID00031963	持续时间
GID00031964	自动读取中……
GID00031965	经验
GID00031966	声音
GID00031967	人们知道你的本性还是善良的，即使偶尔会捣乱
GID00031968	故事和油脂节
GID00031969	星期六
GID00031970	皮肤色调 橙色/蓝色
GID00031971	鼻根 窄/宽
GID00031972	混杂
GID00031973	恶魔
GID00031974	读取远景……
GID00031975	无法修理超过 [%] 耐久度
GID00031976	鼻 向下倾斜/向上倾斜
GID00031978	仁慈的暴徒
GID00031979	文本文件
GID00031980	使用治疗针
GID00031981	提议被拒绝
GID00031982	饮用
GID00031983	目标
GID00031984	皮肤 红润/苍白
GID00031985	保存游戏
GID00031986	十一月
GID00031987	快速保存中……
GID00031988	邪恶
GID00031989	旅行时存档
GID00031990	屏幕亮度
GID00031991	等待
GID00031992	性别
GID00031993	拿取
GID00031994	玩家
GID00031995	［不可进入］
GID00031996	游戏杆上－左
GID00031997	上位内存: 64 KB
GID00031998	跑步
GID00032000	眼睛 向里倾斜/向外倾斜
GID00032001	废土守护者
GID00032002	你的头部受伤了
GID00032003	维护模式
GID00032004	信仰复苏者
GID00032005	跟注
GID00032006	分配 [%] 技能点数
GID00032007	无私的楷模
GID00032008	已受到损坏
GID00032009	存储设备已满，取消自动保存功能
GID00032011	眉毛
GID00032012	［警觉］
GID00032014	先知
GID00032015	能量抗性
GID00032016	火焰抗性
GID00032017	 模组配置
GID00032022	你想要快速旅行到 [%] 吗?
GID00032067	[%] 已添加
GID00032068	拆解 [%]
GID00032069	[%] 已移除
GID00032070	[退回] [%]
GID00032071	你发现了 [%]
GID00032076	拳头
GID00032077	你希望睡多长时间?
GID00032078	1 小时
GID00032079	[%] 小时
GID00032080	[%] 英尺
GID00032081	[%] 米
GID00032082	爆破
GID00032083	点击保存
GID00032084	日志更新
GID00032085	损坏
GID00032086	[已锁 - 非常简单]
GID00032087	[已锁 - 简单]
GID00032088	[已锁 - 普通]
GID00032089	[已锁 - 困难]
GID00032090	[已锁 - 非常困难]
GID00032091	[已锁 - 损坏]
GID00032092	[%] 地图标记已添加
GID00032093	新增: [%]
GID00032094	完成: [%]
GID00032095	[%]级 [%]
GID00032096	远程 [%]
GID00032097	近战 [%]
GID00032098	徒手 [%]
GID00032099	投掷 [%]
GID00032100	放置 [%]
GID00032101	工具 [%]
GID00032108	你想让这个成为你的外观吗？
GID00032109	重量: [%]   价值: [%]
GID00032110	对[%]造成暴击
GID00032111	对[%]的[%]造成暴击
GID00032112	你现在正遭受[%]
GID00032113	想让这个成为你的角色吗?
GID00032114	新增: [%] [CRLF]完成: [%]
GID00032116	角色
GID00032117	地点已发现: [%]
GID00032118	等级 [%]: [%]
GID00032119	游玩时间: [%]
GID00032120	新增: [%] [CRLF]完成: [%] [CRLF]完成: [%]
GID00032121	模组配置菜单 (MCM) 已安装
GID00032122	口渴: [%]   辐射: [%]
GID00032123	放射性生物化学报告
GID00032124	查看
GID00032125	暴击率
GID00032126	价/重
GID00032127	同伴
GID00032128	[需要钥匙]
GID00032129	武器
GID00032130	[%]永久+[%]
GID00032131	饥饿 [%], 生命 [%]
GID00032132	口渴 [%], 生命 [%]
GID00032134	格挡的攻击
GID00032135	选择0到2个特质
GID00032136	编辑特质
GID00032137	调查损坏的机器人
GID00032138	杀价
GID00032139	挑战完成:[%]
GID00032140	分配 [%] 点
GID00032141	选择 [%] 个技能
GID00032143	新增: [%]  [CRLF]新增: [%]  [CRLF]完成: [%]  [CRLF]完成: [%]
GID00032144	来自一位陌生人的笔记
GID00032145	[%] 地图标记已添加
GID00032147	拉斯维加斯
GID00032148	完成: [%] [CRLF]新增: [%] [CRLF]完成: [%] [CRLF]完成: [%]
GID00032151	开启
GID00032152	完成: [%] [CRLF]完成: [%]
GID00032153	超级治疗针副作用, 生命 +[%]
GID00032154	随机商队牌组
GID00032155	完成: [%] [CRLF]完成: [%] [CRLF]完成: [%]
GID00032156	地雷在解除时损坏了
GID00032157	对[%]造成潜行暴击
GID00032158	对[%]的[%]造成潜行暴击
GID00032159	-[%]号服务器-
GID00032160	>拒绝访问
GID00032161	>[%] 正确
GID00032162	剩余[%]次尝试: 
GID00032163	>请稍后
GID00032164	>完全配对!
GID00032165	> 管理员登录
GID00032166	>系统
GID00032167	>正在访问
GID00032168	完成: [%]  [CRLF]新增: [%]
GID00032169	版本信息: 简体中文
GID00032170	敏捷 < [%]
GID00032171	感知 < [%]
GID00032172	>冗余已移除
GID00032173	>配额
GID00032174	>已补充
GID00032175	暴击率提升, [%]
GID00032176	口渴
GID00032177	瓶盖[%]
GID00032178	你想要等待多久?
GID00032179	强制开锁 [%]
GID00032180	[已锁 - 使用钥匙]
GID00032181	[%]小时 (下午 [%])
GID00032182	[%]小时 (上午 [%])
GID00032183	[%]小时 (下午 [%])
GID00032184	[%]小时 (上午 [%])
GID00032185	生命 [%]
GID00032186	[%]为了治疗残废的肢体，你有三种选择：在床上睡觉，找个医生，或使用治疗针来自救。在硬核模式中，你只能通过医生的包或当面找到一位医生才能治疗残废的肢体。[%]治疗针不仅能用来进行通常的医疗（也会稍微地治疗残废），也可以直接用在肢体部位上来治疗残废。[%]想直接用治疗针治疗残废的肢体，先在你的哔哔小子中切换到状态窗口，然后按[%]切换到肢体模式。现在你可以用[%]选择一个肢体，并用[%]在选择的肢体上使用一个治疗针[%]
GID00032187	>锁定
GID00032188	查看模组
GID00032190	你需要[%]点的开锁技能来撬开这把锁
GID00032191	你需要[%]点的科学技能来黑入这个终端
GID00032192	赤诚之心
GID00032193	辐射: 新维加斯
GID00032194	截图文件[%]已创建
GID00032195	修理全部
GID00032196	[%]已装备
GID00032197	最大生命
GID00032198	消音器
GID00032199	[黑寡妇][%]
GID00032200	[红颜杀手][%]
GID00032201	[真命天女][%]
GID00032202	[确认单身][%]
GID00032203	[疾言厉色][%]
GID00032204	重量 [%]
GID00032205	[%]陷入狂暴状态
GID00032206	要治疗残废的肢体，您有三种选择：[%][%]睡在床上、找医生或使用治疗针自行治疗。[%][%]在硬核模式中，您只能透过使用医生包或找医生治疗来治愈残废的肢体。[%][%]治疗针可用于一般治疗（也会稍微治愈残废伤害），或者可以直接用于肢体来治愈残废伤害。[%]要使用治疗针直接治疗残废的肢体，请在您的哔哔小子中导航至状态画面，然后左键点击肢体以对其使用治疗针。
GID00032207	提高射速 ([%])
GID00032208	你感到幸运。你赢了[%]筹码
GID00032209	你输了[%]筹码
GID00032210	你赢了[%]筹码
GID00032212	赌注: [%][CRLF]赔率: [%]
GID00032213	赌注:[CRLF]赔率: 
GID00032214	改装 远程 [%]
GID00032215	改装 近战 [%]
GID00032216	改装 徒手 [%]
GID00032217	改装 投掷 [%]
GID00032218	改装 放置 [%]
GID00032219	改装 工具 [%]
GID00032220	技能 [%]
GID00032221	生命  [%][CRLF]治疗针  [%]
GID00032222	中毒!
GID00032223	抗伤 [%], 免伤 [%][CRLF]属性值 [%]
GID00032224	剩余 [%]
GID00032225	收集毒云残渣
GID00032226	无法撬开此锁，需要钥匙打开：[CRLF][%]
GID00032227	辛克莱的服装
GID00032228	失败: [%]
GID00032229	技能 [%]
GID00032230	欢乐小径货运箱
GID00032231	修理技能   [%]
GID00032232	已使用[%]个存档
GID00032234	通知日志
GID00032235	0 小时
GID00032236	继续游戏
GID00032237	左键)
GID00032238	空
GID00032239	暴击伤
GID00032240	中键)
GID00032241	滚轮)
GID00032242	新增: [%] [CRLF]完成: [%] [CRLF]新增: [%] [CRLF]新增: [%] [CRLF]完成: [%]
GID00032243	完成: [%] [CRLF]新增: [%] [CRLF]完成: [%] [CRLF]完成: [%] [CRLF]新增: [%] [CRLF]新增: [%]
